Koordinatat e Përdhesës 1 (03437-0  Ferizaj) 477.02 m²,,
,,
Nr ,x,y
1,7511417.998,4692188.453
2,7511399.951,4692192.105
3,7511404.024,4692217.025
4,7511422.872,4692213.944
5,7511421.477,4692205.407
6,7511420.788,4692205.520
,,
Koordinatat e Përdhesës 2 (03437-0  Ferizaj) 500.95 m²,,
,,
Nr ,x,y
7,7511381.936,4692197.540
8,7511363.780,4692202.171
9,7511364.765,4692218.619
10,7511364.067,4692218.661
11,7511364.584,4692227.296
12,7511383.649,4692226.155
,,
Koordinatat e Përdhesës 3 (03437-0  Ferizaj) 498.06 m²,,
,,
Nr ,x,y
13,7511383.658,4692226.305
14,7511365.900,4692227.368
15,7511367.573,4692255.316
16,7511385.330,4692254.254
,,
Koordinatat e Përdhesës 4 (03437-0  Ferizaj) 599.22 m²,,
,,
Nr ,x,y
17,7511422.888,4692221.794
18,7511424.122,4692221.592
19,7511422.888,4692214.043
20,7511405.122,4692216.946
21,7511407.397,4692230.862
22,7511407.940,4692230.773
23,7511408.423,4692233.733
24,7511407.881,4692233.822
25,7511410.816,4692251.784
26,7511427.348,4692249.082
,,
Koordinatat e Përdhesës 5 (03437-0  Ferizaj) 635.23 m²,,
,,
Nr ,x,y
27,7511427.137,4692255.206
28,7511425.109,4692255.537
29,7511409.373,4692258.109
30,7511415.065,4692292.938
31,7511432.830,4692290.034
,,
Koordinatat e Përdhesës 6 (03437-0  Ferizaj) 683.80 m²,,
,,
Nr ,x,y
32,7511385.339,4692254.403
33,7511367.584,4692255.466
34,7511369.884,4692293.897
35,7511387.640,4692292.834
36,7511386.797,4692278.760
37,7511386.460,4692278.780
38,7511386.281,4692275.786
39,7511386.618,4692275.766
,,
Koordinatat e Përdhesës 7 (03437-0  Ferizaj) 889.38 m²,,
,,
Nr ,x,y
40,7511390.063,4692298.468
41,7511365.191,4692302.533
42,7511370.884,4692337.361
43,7511395.756,4692333.296
,,
Koordinatat e Përdhesës 8 (03437-0  Ferizaj) 441.85 m²,,
,,
Nr ,x,y
44,7511432.854,4692290.182
45,7511411.685,4692293.642
46,7511415.007,4692313.972
47,7511436.177,4692310.512
,,
Koordinatat e Përdhesës 9 (03437-0  Ferizaj) 568.13 m²,,
,,
Nr ,x,y
48,7511402.603,4692335.520
49,7511392.142,4692337.230
50,7511391.634,4692334.122
51,7511373.277,4692337.122
52,7511376.599,4692357.451
53,7511405.418,4692352.741
,,
Koordinatat e Përdhesës 10 (03437-0  Ferizaj) 766.79 m²,,
,,
Nr ,x,y
54,7511452.660,4692328.301
55,7511416.452,4692334.219
56,7511419.372,4692352.082
57,7511438.655,4692348.930
58,7511439.621,4692354.842
59,7511456.546,4692352.075
