Point Name,Code,Original Latitude,Original Longitude,Original Altitude,Station Correction x,Station Correction y,Station Correction h,Latitude,Longitude,Altitude,Antenna Height,Northing,Easting,Elevation,Solution Status,Used satellites,Tracked satellites,PDOP,HRMS,VRMS,AGE,Local date,Local time,Base ID,Base Latitude,Base Longitude,Base Altitude,Base North,Base East,Base Height,Distance to Ref,Inclination correction,Inclined angle,Projected angle,Correction x,Correction y,Correction h,Target,Station.,Offset,Elevation diff.,Dist to start,Tower Name,Tower No.,Azimuth,Pitch Angle
1,,42°22'09.3131",21°08'16.6245",620.248,0.000,0.000,0.000,42°22'09.3131",21°08'16.6245",620.248,2.47,4692192.372,7511361.916,620.248,FIXED,27,30,1.1,0.057,0.068,1,2025-01-20,12:07:13,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10908.758,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,620.248,,,,311°18'21.6691",0°02'27.1152"
2,,42°22'09.4884",21°08'16.3911",620.498,0.000,0.000,0.000,42°22'09.4884",21°08'16.3911",620.498,2.47,4692197.770,7511356.567,620.498,FIXED,30,32,0.99,0.042,0.052,1,2025-01-20,12:09:43,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10901.175,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,620.498,,,,311°18'12.1146",0°02'22.4965"
3,,42°22'09.1377",21°08'18.1944",619.731,0.000,0.000,0.000,42°22'09.1377",21°08'18.1944",619.731,2.47,4692187.016,7511397.841,619.731,FIXED,25,28,1.07,0.013,0.015,5,2025-01-20,12:12:56,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10939.303,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.731,,,,311°12'10.2959",0°02'36.4111"
4,,42°22'09.1913",21°08'18.1390",619.690,0.000,0.000,0.000,42°22'09.1913",21°08'18.1390",619.690,2.47,4692188.668,7511396.571,619.690,FIXED,25,27,1.02,0.02,0.022,1,2025-01-20,12:14:26,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10937.259,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.69,,,,311°12'02.576",0°02'37.1438"
5,,42°22'09.3908",21°08'18.1655",619.703,0.000,0.000,0.000,42°22'09.3908",21°08'18.1655",619.703,2.47,4692194.825,7511397.167,619.703,FIXED,27,30,1.02,0.014,0.015,3,2025-01-20,12:15:06,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10933.652,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.703,,,,311°10'27.7149",0°02'36.8432"
6,,42°22'09.0087",21°08'19.2507",619.590,0.000,0.000,0.000,42°22'09.0087",21°08'19.2507",619.590,2.47,4692183.077,7511422.015,619.590,FIXED,23,25,1.42,0.014,0.015,1,2025-01-20,12:18:57,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10960.098,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.59,,,,311°08'05.2039",0°02'38.847"
7,,42°22'11.3124",21°08'19.7443",619.571,0.000,0.000,0.000,42°22'11.3124",21°08'19.7443",619.571,2.47,4692254.171,7511433.192,619.571,FIXED,29,31,1.04,0.013,0.013,1,2025-01-20,12:24:30,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10921.909,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.571,,,,310°48'55.7553",0°02'39.6421"
8,,42°22'13.3572",21°08'20.1689",619.472,0.000,0.000,0.000,42°22'13.3572",21°08'20.1689",619.472,2.47,4692317.273,7511442.803,619.472,FIXED,26,28,1.1,0.014,0.016,1,2025-01-20,12:30:20,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10888.065,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.472,,,,310°31'52.061",0°02'42.1067"
9,,42°22'13.4631",21°08'20.4569",619.548,0.000,0.000,0.000,42°22'13.4631",21°08'20.4569",619.548,2.47,4692320.551,7511449.386,619.548,FIXED,26,28,1.1,0.013,0.014,1,2025-01-20,12:30:53,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10890.941,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.548,,,,310°29'44.395",0°02'40.3679"
10,,42°22'13.6065",21°08'20.9432",619.365,0.000,0.000,0.000,42°22'13.6065",21°08'20.9432",619.365,2.47,4692324.993,7511460.504,619.365,FIXED,27,29,1.06,0.012,0.012,1,2025-01-20,12:32:06,3,42°26'02.9303",21°02'18.6554",628.026,4699391.608,7503168.930,628.026,10896.518,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,619.365,,,,310°26'22.7281",0°02'43.9064"
